Student ID,Fullname,Subject,Course,Semester,Cw,Ex,Mm,Status
190188,SushmaRimal,.Net,CT009-4-1-.Net,4,70,80,75,P
190188,SushmanRimal,Javascript,CT009-4-2-Javascript,4,20,20,75,P
190188,SushmaRimal,Django,CT009-4-3-Django,4,84,,84,P
190188,SushmaRimal,Cloud Computing,CT009-4-4-Cloud Computing,4,86,,86,P
190289,NeetuBasyal,.Net,CT009-4-1-.Net,4,48,58,53,P
190289,NeetuBasyal,Javascript,CT009-4-2-Javascript,4,,,66,P
190289,NeetuBasyal,Django,CT009-4-3-Django,4,50,,50,P
190289,NeetuBasyal,Cloud Computing,CT009-4-4-Cloud Computing,4,45,,45,P
190188,SushmaRimal,Math,CT009-1-1-Math,1,58,70,64,P
190188,SushmaRimal,Network,CT009-1-2-Network,1,,,68,P
190188,SushmaRimal,Agile,CT009-1-3-Agile,1,84,,84,P
190188,SushmaRimal,HTML,CT009-1-4-HTML,1,74,,74,P
190289,NeetuBasyal,Python,CT009-2-1-Python,2,58,82,70,P
190289,NeetuBasyal,IOT,CT009-2-2-IOT,2,,,71,P
190289,NeetuBasyal,CSS,CT009-2-3-CSS,2,67,,67,P
190289,NeetuBasyal,Personality Development,CT009-2-4-Personality Development,2,77,,77,P
190188,SushmaRimal,Java,CT009-3-1-Java,3,70,80,75,P
190188,SushmaRimal,Database,CT009-3-2-Database,3,70,80,65,P
190188,SushmaRimal,PHP,CT009-3-3-PHP,3,70,80,75,P
190188,SushmaRimal,R Programming,CT009-3-4-PR Programming,3,70,80,65,P
190188,Salman Khan,IOT,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,Python,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,Django,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,PHP,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,Agile,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,Academic,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,Thesis,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,Maths,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,Databases,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,Networks,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,PIIT,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,Skills for Computing,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,IOT,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,Python,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
190188,Salman Khan,Django,STWU01EEC-BSC-FT-1-STW,1,70,80,75,P
190188,Salman Khan,PHP,STWU01EEC-BSC-FT-1-STW,1,70,80,65,P
